# c-balanced sequence
# n=13
# c=1
# mode=strict
# latin=true
# guarantee=fully balanced (strict)
# rows=items, cols=days, entry=player
1,9,6,11,4,3,7,8,2,5,12,13,10
2,8,7,13,12,5,10,6,4,9,1,11,3
3,10,5,9,2,1,11,12,13,8,4,6,7
4,13,12,8,6,10,3,1,7,11,9,5,2
5,11,4,1,7,2,13,9,3,10,6,8,12
6,12,3,10,13,8,9,11,5,2,7,4,1
7,1,11,2,9,6,5,4,10,12,13,3,8
8,7,10,3,5,12,4,13,6,1,11,2,9
9,2,13,4,8,11,1,3,12,7,5,10,6
12,5,9,6,10,4,2,7,11,3,8,1,13
11,6,1,7,3,13,8,2,9,4,10,12,5
13,3,8,5,11,7,12,10,1,6,2,9,4
10,4,2,12,1,9,6,5,8,13,3,7,11
